description,variety,country,price,points
"Pushy, forceful aromas of vanilla and oak blend with berry and spice notes. The palate is quietly full bodied, with plum and spice flavors in front of a toasty, dry, nicely oaked finish. For a lively, nervy wine, this is honest and good.",Pinot Noir,Chile,16.0,87
"This wine has an almost sweet aroma of ripe plums and cherries, followed by a vivid fruity flavor that's fresh, dry and accented with black pepper and clove. Showing great balance from fine tannins and good acidity and vibrant but not heavy flavor, it will be a versatile and crowd-pleasing pour.",Pinot Noir,US,20.0,90
"Carillon opens with a dark, concentrated appearance and smoky aromas of barbecue, spice and toasted oak. The fruit element comes forth on the palate, revealing the wine's bright cherry and crème de cassis notes.",Sangiovese Grosso,Italy,60.0,89
"This soulful red opens with earthy aromas of black olive, leather, ripe berry and a whiff of game. The round, enveloping palate delivers fleshy black cherry, blackberry preserve, tobacco and clove alongside firm, velvety tannins. Showing the heat of the vintage, it's already rather accessible but it also has some staying power. Open a couple of hours in advance to let this breathe.",Sangiovese,Italy,95.0,92
"Aromas of espresso, oak, vanilla, prune and mocha follow through to the warm palate along with dried black cherry, fig, roasted coffee bean, powdered sage and evident alcohol. It's already evolved, with fleeting but drying tannins.",Red Blend,Italy,20.0,85
"This ruby-colored blend of Corvina and Sangiovese doesn't offer huge aromatic intensity, but it does deliver clean notes of cherry, dried fruit, spice and fresh tobacco leaf (it is aged in cherry wood casks). The wine imparts a sour note with nutty, earthy flavors on the finish.",Red Blend,Italy,19.0,86
"Fermented 50% whole cluster and aged in neutral oak and concrete, this appealing wine offers notes of wild strawberries, brown stems and cigar box. It's fully flavored with a supple feel, with tannins that will benefit from some time in the cellar and a cinnamon-filled finish.",Pinot Noir,US,25.0,91
"A fine trio of vineyards—Boushey, Cold Creek and Sagemoor—comprise the blend here. The fruit runs the table from cherry to blackberry to cassis, threaded throughout with fresh herbs and clean earth. Good balance with no heat from the 14.7% alcohol; the tannins are polished and drying, and the finish has a soft, leathery smoothness.",Cabernet Sauvignon,US,45.0,91
"Generic red fruit flavors are set in a light wine with a slightly chalky finish. In the nose there are hints of volatility and leather, but it's perfectly quaffable.",Tempranillo,US,28.0,85
"This is dense and saturated, with crushed blackberry and plum aromas that turn more jammy and granular as the wine breathes. It's extracted and heavy on the palate, with candied black plum and berry flavors that lose steam on the finish. This could be too heavy for fans of leaner-bodied wines.",Red Blend,Spain,28.0,87
"Aromas of grapefruit, tropical fruit, citrus zest, a whiff of graphite and an herbaceous note take center stage on this expressive yet elegant white. The round medium-bodied palate delivers ripe pear, yellow apple, lemon and a quintessential note of bitter almond typical of the variety.",Friulano,Italy,25.0,90
"The slightest minty lift is perceptible on the nose, hovering above black cherry. The palate shows tightly packed, dense, ripe but fresh fruit, as crunchy and juicy as ripe but tart cherries. There is something masculine in the muscular but fine structure. Tautness suggests that this will benefit from mellowing bottle age. Drink from 2017 through 2025.",Blaufränkisch,Austria,55.0,92
"Lots of charm now for the roasted coffeebean, red cherry, pain grillé and sandalwood aromas and flavors that are wrapped into finely ground tannins. Shows real class and elegance despite its mountain tightness. Should develop bottle complexities through 2014 or or so.",Cabernet Sauvignon,US,75.0,91
"Brander's Sauvignon Blancs are so rich in their own right, they don't even need oak. But when you take a good one, as this is, and add some new French barrels, it becomes even richer. Blended with 35% Semillon, this wine has serious weight and texture, with complex layers of citrus and tropical fruits, buttercream, vanilla and toast. It's a very nuanced white wine, so do not drink it too cold.",Semillon-Sauvignon Blanc,US,25.0,92
"Earthy underbrush, leather, scorched earth, dark spice and toasted hazelnut aromas lead the way. The firm palate shows dried cherry, licorice and tobacco flavors alongside assertive, fine-grained tannins. Drink 2019–2026.",Nebbiolo,Italy,110.0,90
"This ambitious, against-all-odds island project with ancient grapevines is showing promising results, in this case offering smoked meats, hard spice and very tight purple fruit on the nose. The palate is tart with cranberries and raspberries, with a pencil lead and earth character, proving quite interesting if not entirely Zin-like.",Zinfandel,US,72.0,89
"This opens with aromas that recall weedy underbrush, crushed dill, camphor, saline, hay and a hint of orange rind. The evolved palate offers roasted coffee bean, licorice and a confectionary note but it lacks fruit richness. Astringent but fleeting tannins dry out the finish.",Nebbiolo,Italy,50.0,85
"This is a thick and burly version of the variety from a rocky, high-elevation appellation well known for Zinfandel. Leathery tar overlaps with herbal, vegetal elements before a bittersweet finish.",Malbec,US,42.0,86
"Yellow peach, lemon, Asian pear and citrus peels show on the nose of this bottling by Matt Villard. It's very light and reserved on the palate, which is what makes it refreshing, with flavors of ripe nectarine, pan-seared apple and cider. A sizzle of acidity runs through it.",Viognier,US,30.0,89
"The wine is still very young, revealing sweetness rather than the botrytis complexity of previous vintages. Honey, peach and pineapple flavors offer fruitiness.",Bordeaux-style White Blend,France,25.0,84
"Citrus aromas are familiar. Lively and zesty in the mouth, with refreshing acidity. Orange and passion fruit lead the palate, which transitions to grapefruit. Crisp on the finish. Good for an everyday white wine.",Sauvignon Blanc,Chile,12.0,86
"This bottling has been remarkably consistent over the last several vintages. Always exotic in lemondrop-candy fruit that's been well-oaked, it has nuances of flower petals, white peaches, minerals and honey. The '06 may be a little softer than past vintages.",Chardonnay,US,50.0,90
"Warm and ripe wine, very open with its red fruit acidity well integrated. There are tannins and a more dry character of course—this is a 2010 wine, but the main effect is of weight and some power.",Gamay,France,19.0,89
"Grenache-focused Bay Area winemaker Adam Comartin adds 34% Syrah and 14% Mourvèdre to this blend that delivers aromas of black pepper, blackberry and plum. There's viscosity on the palate, with blackberry fruits, violet florals, whiffs of vanilla and black rocks. The tight finish wipes the mouth clean.",G-S-M,US,32.0,90
"This has a gorgeous nose redolent with dried spices and hints of incense. The moderate (13.8%) alcohol is a joy, and the use of oak (half new) is just right. The Cabernet character comes through, with a slightly herbal/black olive edge, but it is wrapped in toast and sweet baking spices, and balanced through a very smooth and surprisingly long finish.",Cabernet Sauvignon,US,30.0,90
"This opens with delicate baking spice and black-skinned fruit scents that carry over to the simple palate together with a nutty note. It's easy-drinking, with soft tannins. Enjoy soon.",Dolcetto,Italy,21.0,86
"Brilliantly ripe pineapple, tangerine and lemon fruit flavors mark this savory young Chardonnay. It shows the citrusy acidity of the cool-climate Edna Valley, with a long, spicy finish. Clean and mouthwatering, it offers a lot for the price.",Chardonnay,US,18.0,89
This blend of Cinsault (75%) and Mourvèdre already seems quite advanced. Notes of raisined fruit and brown spices come along with light cranberry flavors that seem to have faded.,Red Blend,US,23.0,83
"Offers varietally correct flavors of black currants and hints of tobacco, but where's the structure and depth? A simple, fruity red for early drinking that would make a decent picnic wine or bar pour.",Cabernet Sauvignon,Chile,8.0,83
"Jaboulet's view of its most famous wine seems to have changed. Although the concentrated, dense tannins and big black fruit flavors are still there, it has lost the huge brooding presence of past vintages, and now has a veneer of sophistication with superripe fruit, plums and dark jam tastes. Whether this 1999 will age as well as older vintages remains to be seen, but it will certainly be ready to drink sooner.",Rhône-style Red Blend,France,131.0,94
"Luscious pink grapefruit and a hint of raspberry seduce on the palate of this bright, fruity Riesling. It's pleasantly sweet but calibrated neatly by a shot of lemon-lime acidity on the midpalate. A straightforward, spry sip for everyday enjoyment.",Riesling,US,16.0,87
"Rich and toasty, round and full across the palate, this thoroughly-enjoyable new release is mostly Cabernet Sauvignon and Merlot, with a splash of Cabernet Franc. It was aged 17 months in 60% new French oak, yielding a spicy, chocolaty wine, with vivid, bright fruit flavors of cherries and plums. Excellent length, balance and texture.",Bordeaux-style Red Blend,US,32.0,91
"Puy means a hill, and the steep slopes of the Côte du Puy offer great exposure for the vines. The result is a densely structured, very muscular wine that shows richness as well as dark tannins. The aftertaste is sweet, streaked with acidity.",Gamay,France,29.0,92
"Dried rose petal, underbrush, leather, and a balsamic note are just some of the scents you'll find on this firm, well-structured red. On the palate, licorice, clove and crushed herb accent the core of crushed black cherry while velvety tannins and fresh acidity provide the framework. Drink 2018–2028.",Nebbiolo,Italy,60.0,93
"A value-priced Sauvignon Blanc from Sobon, which also makes Shenandoah Vineyards wines in the Shenandoah Valley of California, within the greater Sierra Foothills. This white opens with floral aromatics followed by wet stone, apple and lemon, all in a subtle, lightly rendered way.",Sauvignon Blanc,US,11.0,85
"On this medium-bodied, sweet Moscatel, the tangerine peel and lychee aromas require airing to get beyond the basics. Mango, melon and lychee are the lead flavors, while the finish is peachy and easy, with richness but nothing cloying. Drink through 2018.",Moscatel,Spain,25.0,91
"This is the winery's best Nebula in years. While it's still a little on the soft, sweet side, the cool vintage has resonated in the wine's flavor, giving it a good structure housing cherry, currant and sandalwood flavors. Drink now.",Cabernet Sauvignon,US,29.0,87
"A highly aromatic and expressive wine, this explodes with scents of baked pineapple, ruby grapefruit, tangerine and apricot preserves. Fleshy, concentrated and focused, the palate has plenty of animated acidity. The flavor intensity is solid on the medium-to-long finish, ending with a touch of warmth.",Viognier,US,20.0,88
"Juicy and approachable, this blend of Riesling and Müller-Thurgau offers fleshy stone fruit and tangerine flavors brightened by soft, slightly yielding acidity. It's a pristinely fruity wine with just a touch of minerality on the finish. Drink now.",White Blend,Germany,11.0,87
"A tight line of margarita salt, lemon and sourdough toast show on the layered nose of this countywide blend that is one of the stronger performers in the Alma Rosa catalogue for the price. There is a steely texture to the sip, with flavors of wet wool, Marcona almond and tangerine blossom.",Chardonnay,US,19.0,90
"From vines trained on the lyre system, here is one of the classics of Austrian wine. Its richness and concentration are present from the first taste. As the wine opens, it brings out perfumes and intense fruit flavors. A great wine that needs long-term aging.",Riesling,Austria,74.0,95
"Ruddy slightly overripe black cherry and berry flavors are juxtaposed with tart green notes in this fruity but rustic Cabernet Sauvignon. Soft, sunny acidity lends a plush, juicy mouthfeel and a brisk finish.",Cabernet Sauvignon,US,20.0,84
"This wine headlines the Charles Smith lineup, and has established a breathtakingly complex and rich style, that varies in saturation with each vintage but remains consistent in its flavors. Clove, baking spices and maple syrup flavors trump the ripe fruits that remain more in the background. Delicious now, or cellar for a few more years.",Syrah,US,140.0,97
"Cadus from Nieto Senetiner has not been overly consistent in recent years. This wine is black as night, with ultra-extracted aromas of black fruit and chocolate. The palate is hunky and chunky, with clumsy grape, cassis and blackberry flavors. Shows a blast of coconut and softness on the finish. A classic fruit bomb that's missing some key parts.",Malbec,Argentina,45.0,87
"This Kekfrankos (known more commonly in Austria as Blaufränkisch) layers tart, crisp blackberry and briar flavors with earthy, rustic notes of wet soil, barnyard and hay. Savory in style and brisk on the palate, it would be a wonderful accompaniment to wild game or fowl.",Kekfrankos,Hungary,17.0,87
"This fun, delicious wine tastes generous in honey, pear, Meyer lemon, orange, nectarine and white flower flavors, which are balanced by zesty acids. The blend is Grenache Blanc, Roussanne and Viognier.",Rhône-style White Blend,US,20.0,88
"Hints of umami richness lend savoriness to primary red-cherry and cranberry flavors on this nuanced wine. Supple like silk yet refreshingly mineral, it finishes crisp and clean with lingering wet-granite notes.",Spätburgunder,Germany,103.0,90
"A fine bottle, roughly half Pinot Gris, half Gewürztraminer, from the Celilo vineyard. The PG is 25 years old; it's a blend that works really well in vintages where the vineyard gets sufficient heat, and 2009 was just about perfect. Partially barrel fermented, it sends up scents and flavors of citrus—lime and orange—with a pleasing roundness from roughly one percent residual sugar.",White Blend,US,16.0,89
"Robust and fleshy, this is soft, easy and slightly sweet. It has pie-filling flavors of blackberries and peppery spices.",Cabernet Sauvignon,US,11.0,83
"Tart and juicy, with wild raspberry fruit streaked with dried herb and just hinting at black cherry. This is a subtle yet powerful wine, with whiffs of smoke, licorice and coffee, but far less noticeable barrel influence than its companion reds. Focused and pure, with the structure to age.",Bordeaux-style Red Blend,US,75.0,92
"An impressive Cabernet, but one in need of cellaring. The primary fruit flavors of blackberries and blueberries are delicious, as is the fancy coating of smoky oak. And the tannins are rich and sweetly ripe. Give it until 2016 or 2017 to begin to integrate.",Cabernet Sauvignon,US,46.0,90
"This ripe wine is full of minerality and rich white and yellow fruit. Still young, it's deliciously creamy and bright, showing great potential for aging into something serious. Drink from 2020.",Chardonnay,France,80.0,92
"Michael Gill goes for broke booze-wise on this hot number, but the rewards are worth the risk. Aromas of blueberry, mint, graphite, dried cherry, lilac and graphite get a sagebrush lift. On the palate, distinct black licorice accompany blackberry syrup and white pepper. There's a slight bit of alcoholic burn on the finish, but it doesn't drink as hot as you'd guess.",Syrah,US,70.0,92
"This Bordeaux-style blend is half Cabernet Sauvignon, the rest a mix of Merlot, Malbec and Cabernet Franc. Light, leafy, somewhat green flavors suggest thin, plummy fruit with a strong herbal streak. It looses weight quickly and turns tannic.",Meritage,US,36.0,85
"Intensely dark blackberry fruit meets with game and minty chocolate on the nose of this appellation blend by Adam Lee. The flavors are woody with forest undergrowth, and surround a core of mulberry.",Pinot Noir,US,39.0,88
"This blend of 45% Cabernet Sauvignon, 30% Merlot and 25% Cabernet Franc is still quite fresh for being seven-years-old, offering aromas of concentrated red-cherry juice, allspice, sandalwood and nose-tickling cinnamon. Cedar and myrrh flavors lead the woody palate, where a buoyant acidity lifts up the red cherry and tart red-currant fruits.",Bordeaux-style Red Blend,US,79.0,91
"Tasted in late August, there was a spritziness that may well disappear by the time this wine is available on the market. That fizziness is by no means unattractive. It brings a bright, Champagne-like kick to the Meyer-lemon, lime, apricot and papaya flavors that make this Sauvignon Blanc so savory.",Sauvignon Blanc,US,18.0,88
"Aromas of butterscotch, honeyed apricot, beeswax and honeysuckle transfer seamlessly onto the palate and are joined by flavors of sweet golden raisins and vanilla caramel. There's nice balance between sweetness and acidity, and a delightful touch of creaminess graces the finish.",Tokaji,Hungary,118.0,92
"Soft, sweet and fruity, tasting like a granola bar, with roasted almonds, raspberry filling and cinnamon spice.",Cabernet Franc,US,20.0,85
"With its bold, jammy blackberries and a hint of black pepper on the nose, this wine is all about delivering a flavor punch. Straightforward berry fruit is tinged with licorice in a bulky but satisfying package.",Rhône-style Red Blend,France,10.0,87
"Aromas of burnt wood, saline solution and mealy fruit do not impress. This feels both resiny and acidic, while flavors of oak and salty white fruits finish with a final coating of unappealing oak.",Chardonnay,Chile,17.0,82
"Hints of white blossom and lemon are pleasant in this zesty, full-bodied wine, but are accompanied by savory tones of dusty mineral and white button mushroom. The finish is brisk but clean.",Sauvignon Blanc,US,28.0,85
"This is a young wine with some bitter almond flavors and a taut, nervy character. The wine is tight with green apple acidity showing through. Give it four years and it will be a rich, fruit-and-spice flavored wine.",Chenin Blanc,France,18.0,88
"A broad-based wine with rich fruit, it also has a crisp edge. Ripe yellow fruits are cut with citrus and acidity. With a tangy end, it could well age, so drink from 2015.",Chardonnay,France,26.0,86
"Dill, crushed herb, oak, toast and balsamic aromas emerge in the glass as this wine opens. Its firm palate offers dried cherry, licorice and espresso flavors framed by close-grained tannins and vibrant acidity. It has structure but lacks fruit richness.",Nebbiolo,Italy,130.0,89
"As its name suggests, Tradizionale is classically crafted. Aged in large French casks, this has alluring fragrances of violet, plum and black pepper, while the palate delivers black cherry and tobacco flavors layered with carob notes. It's nicely balanced, with soft tannins and fresh acidity.",Sangiovese,Italy,48.0,93
"This is a hot, earthy Malbec with cover-up oak on the nose. A high-acid palate is drying and hard, with narrow, salty berry flavors and a peppery tasting, scratchy finish.",Malbec,Argentina,10.0,81
"Woodenhead makes a range of Pinot Noirs from both the Russian River and Anderson valleys and this one starts out with an earthy ring of raspberry, a lot of black tea and some herbal undertones. Still impacted from its time in oak, the finish is hard to pinpoint, slightly spicy and unresolved.",Pinot Noir,US,60.0,87
"Dusty and yeasty on the nose, this has an eggy, sweaty note. It feels good but drifts a bit on the palate, while the flavors run stalky and sweet, with a touch of apple for crispness.",Sparkling Blend,Spain,10.0,83
"With its flavor that edges toward oxidative, this is the antithesis of easy, fruity white Bordeaux. That makes it an edgy, exciting wine, with spice, ginger and lychee flavors adding to the caramel wood over green plums.",Bordeaux-style White Blend,France,83.0,89
"The wine is hard, tough and dense. Its tannins are solid, dominant, extracted and cover any fruit. It is likely to remain dry.",Bordeaux-style Red Blend,France,20.0,84
"There's a chalky minerality that carries from the nose to the palate of this bone-dry Hungarian rosé, adding a touch of elegance to the fresh red cherry and raspberry flavors. It is easy drinking and balanced in structure. Drink now.",Rosé,Hungary,15.0,85
"Rich succulent black cherry and berry notes mingle with swathes of ripe bramble and dried sage in this bold full-bodied Pinot Noir. Unabashedly luscious and fringed by a feathery fray of tannins, its forward but refined nature is appealing now.",Pinot Noir,Germany,42.0,93
"Though labeled as Merlot, this smells more like Syrah which makes up 20% of the blend, with aromas of blue and purple fruit along with whiffs of smoked meat and dried herb. The fruit flavors are sweet and plump, backed by soft, luxurious tannins. It's enjoyable but doesn't seem varietally correct.",Merlot,US,12.0,87
"Complex and concentrated, this blend of Cabernets Franc and Sauvignon has weight and richness. The red and black fruits are layered with firm, dry tannins that promise aging. It is rich, the Cabernet Franc showing its characteristic smoky perfumes. Keep for 3–4 years.",Cabernet Franc-Cabernet Sauvignon,France,23.0,91
"This Petite Sirah has a strong aroma of farm and funk, and not much else to distinguish itself.",Petite Sirah,US,12.0,80
"This is a pretty great deal for a wine of this quality, made by consulting winemaker Shane Finley. Mellowed in flavor and oak, it takes time to open in the glass, but does, imparting forest floor, cardamom and a bite of bittersweet cranberry-raspberry within a medium-bodied, smooth texture.",Pinot Noir,US,26.0,90
"Lots of acidity and steel in this bone-dry Chard. Also, pronounced toasty oak, with a butterscotch and caramel taste dominating. Fortunately there's a good underpinning of peach, pear and pineapple fruit.",Chardonnay,US,20.0,87
"Aromas of mature plum, espresso, toast and Asian spice lead the nose while the dense palate delivers dried black cherry, red currant, licorice and ground pepper. Tangy acidity and close-grained tannins give it a mouth-puckering finish.",Barbera,Italy,34.0,88
"Aromatically brooding, this suggests dry chocolate, violets, brown stems, herbs, black pepper and smoked meat. It's restrained in style with pure, tart blue fruit flavors and a light squeeze of tannins that need additional time in bottle to settle in fully. Enjoy it at the dinner table to see it at its best.",Syrah,US,40.0,91
